Web;Title;Url;Datetime;Abstract
idnes.cz;PŘEHLEDNĚ: Co nového nás čeká v roce 2023. Za co více zaplatíme i dostaneme;https://www.idnes.cz/zpravy/domaci/cesko-zmeny-v-roce-2023-prehledne.A221230_105559_domaci_knn;2023-01-01;Česko si zvolí nového prezidenta, na pražském magistrátu usedne nový primátor. Řada lidí bude muset za pohotovostí cestovat do jiného města, statisíce motoristů zase čeká výměna řidičských průkazů. To vše přinese rok 2023. Redakce iDNES.cz přináší přehledně seznam hlavních změn.
idnes.cz;Česko vstoupilo do roku 2023. Zákaz pyrotechniky v centru Prahy nezabral;https://www.idnes.cz/praha/zpravy/silvestr-novy-rok-hasici-policie-zachranna-sluzba-pripravy-vyjezdy-pyrotechnika.A221231_145404_domaci_pitt;2023-01-01;Česká republika vstoupila do nového roku 2023. Oslavy se konaly na řadě míst, tradičně největší byly v centru Prahy, kde i přes zákaz došlo k odpalování pyrotechniky. Na Václavském náměstí před půlnocí muž kopl do hlavy policistu. Do druhé hodiny ranní zasahovali hasiči u padesátky požárů, záchranáři využili i specializované vozidlo Golem.
idnes.cz;Hodnocení skončeného předsednictví: Češi uspěli, ale neumí se tím pochlubit;https://www.idnes.cz/zpravy/domaci/ceske-predsednictvi-v-rade-eu-hodnoceni.A221213_104017_domaci_knn;2023-01-01;Spolu s koncem roku předala Česká republika pomyslné žezlo předsednictví v Radě EU Švédsku. Tím zakončila půl rok, během kterého zodpovídala za její fungování a stála tak „v čele Evropy“. Podle odborníků i politiků, které redakce iDNES.cz oslovila, země v této zkoušce obstála. Úspěchy jsou ale málo vidět a vláda je nedokázala dostatečně „prodat“.
idnes.cz;Kalousek má novou favoritku. Podpořil na Hrad Nerudovou místo Fischera;https://www.idnes.cz/volby/volba-prezidenta-2023-kalousek-podpora-danuse-nerudove.A230101_085308_prezidentske-volby-2023_kop;2023-01-01;Necelé dva týdny zbývají do volby nové hlavy státu a do tábora přívrženců bývalé rektorky Mendelovy univerzity v Brně Danuše Nerudové veřejně přešel bývalý ministr financí a expředseda TOP 09 Miroslav Kalousek. Dosud přitom podporoval senátora Pavla Fischera, který ale podle Kalouska nemá šanci na postup do druhého kola volby.
idnes.cz;Zeman udělil Medaili za hrdinství hasiči, který zahynul při požáru roubenky;https://www.idnes.cz/zpravy/domaci/zeman-oceneni-medaile-hasic-pozar-dvorak-in-memoriam.A230101_093737_domaci_bur;2023-01-01;Prezident Miloš Zeman udělil Medaili za hrdinství in memoriam Janu Dvořákovi. Dobrovolný hasič zahynul v listopadu při požáru roubenky v Novém Boru - Arnultovicích.
idnes.cz;Malostranský zápisník: Se Zemanem končí košilaté označení českých poslanců;https://www.idnes.cz/zpravy/domaci/malostransky-zapisnik-milos-zeman-vlada-poslanec.A221230_150203_domaci_javu;2023-01-01;Kam se hrabe Babišova žvanírna, Zeman říkal Sněmovně mnohem hůř! Jak chce vláda zmodernizovat výuku oxymóronu v českých školách? Jak pravicová vláda dotuje stamiliony nezávislá média, aby psala správně? A těšíte se na Polčákův návrat? V Malostranském zápisníku píše komentátor MF DNES Miroslav Korecký.
idnes.cz;Prvním miminkem roku je Anička ze Šternberka. Minutu po ní se narodila Timea;https://www.idnes.cz/zpravy/domaci/prvni-miminko-dite-novorozenec-porodnice-2023-sternberk-nemocnice-anicka.A230101_120454_domaci_klf;2023-01-01;Prvním dítětem narozeným v letošním roce v Česku je Anička. Přišla na svět v nemocnici ve Šternberku na Olomoucku osm minut po půlnoci. O minutu později se v Ústavu pro péči o matku a dítě v pražském Podolí narodila holčička Timea. Mezi prvními novorozenci v krajích převažují dívky, chlapečků je jen pět.
idnes.cz;Požárů na silvestra bylo o třetinu víc než loni. Hasiči zachraňovali i z komína;https://www.idnes.cz/zpravy/domaci/silvestr-zachranna-sluzba-zachranka-ohnostroj-petardy-zraneni-zasah-noc-novy-rok.A230101_073804_domaci_klf;2023-01-01;Hasiči v Česku během silvestrovské noci zasahovali u 286 požárů. Je to asi o třetinu víc než loni. Zásahy u požárů také tvořily tři čtvrtiny všech výjezdů hasičů. Záchranáři v krajích pak kromě zranění petardami ošetřovali i oči poraněné při otevírání sektu a opařené dítě.
idnes.cz;Obětí nehod ubylo. Loňský rok byl na silnicích jeden z méně tragických;https://www.idnes.cz/zpravy/domaci/nehoda-silnice-ubylo-obeti-mene-tragicke.A230101_124832_domaci_esed;2023-01-01;Loňský rok byl na českých silnicích zřejmě druhý nejméně tragický za víc než 60 let. Obětí nehod bylo podle předběžných údajů policie 468, což bylo o dvě nehody méně než o rok dřív.
idnes.cz;Postavme se dezinformátorům a populistům, vyzval šéf Senátu Vystrčil;https://www.idnes.cz/zpravy/domaci/novorocni-projev-2023-predseda-senatu-vystrcil-premier-fiala.A221231_161639_domaci_kop;2023-01-01;S novoročním projevem vystoupil předseda Senátu Miloš Vystrčil z ODS. „Česká republiko, dobrý den,“ zahájil projev stejnými slovy jako před třiceti lety tehdejší šéf Senátu Milan Uhde v den, kdy po rozdělení Československa vznikla samostatná Česká republika. Vystrčil ocenil poklidný způsob rozdělení společného státu Čechů a Slováků před 30 lety.
idnes.cz;Stesk a čeština jako mateřština. Cílem je střední a vysoká, říkají mladí Ukrajinci;https://www.idnes.cz/zpravy/domaci/ukrajinci-nulte-rocniky-vzdelavani-skola-ss-cestina.A221219_143454_domaci_imat;2023-01-01;Věkem už patří na střední školy, kvůli jazykové bariéře se na ně ale nedostali. Mladým Ukrajincům tak nezbylo nic jiného, než nastoupit do takzvaných nultých ročníků například na gymnáziích, a začít od úplných základů. Minimálně v češtině. Přestože se ji mnohdy učí teprve několik týdnů, přiznávají někteří z nich, že už je pro ně druhým mateřským jazykem.
idnes.cz;19,6. V Javorníku naměřili historicky nejvyšší lednovou teplotu v Česku;https://www.idnes.cz/zpravy/domaci/pocasi-leden-novy-rok-rekordy.A230101_101306_domaci_bur;2023-01-01;Teploty v Česku na Nový rok opět lámou rekordy. V Javorníku na Olomoucku naměřili meteorologové v sobotu ráno 19,6 stupně Celsia, jde o dosud nejvyšší lednovou teplotu v Česku. Rekordy zaznamenalo zhruba 80 procent stanic. Už v sobotu přitom meteorologové uvedli, že za extrémně teplým počasím je příliv teplého vzduchu z Afriky.
idnes.cz;KOMENTÁŘ: Den hanby pro Valné shromáždění OSN. Hamás jeho postoj jistě přivítá;https://www.idnes.cz/zpravy/domaci/osn-valne-shromazdeni-izrael-konflikt-zide.A221230_170352_domaci_mejt;2023-01-01;K čemu nám v současné době vlastně je Organizace spojených národů? Toť otázka! Mezinárodní organizace vzniklá po druhé světové válce v roce 1945 s cílem zabránit všem dalším stejně ničivým válkám totiž v posledních době spíše jen prokazuje svoji neschopnost. A jako by byla důležitá jen sama pro sebe a možná pro početné úředníky, kteří v ní a pro ni pracují, píše ve svém komentáři pro MF DNES právník a publicista Jiří Němec.
idnes.cz;Touha po dobrodružství, problémy doma. Policie loni hledala stovky pohřešovaných;https://www.idnes.cz/zpravy/domaci/policie-pohresovani-cesi-rok-ztraceni-i-roky-slozita-zivotni-situace.A221212_092028_domaci_vank;2023-01-01;V polovině prosince pátrali policisté po seniorce, která po hádce s dcerou odešla z domu v Praze 9. Doma si nechala všechny svoje věci. Žena se nakonec našla v pořádku. To je pouze jeden z mnoha případů, kdy policie pátrala po ztraceném. K 6. prosinci pohřešovali Češi 2 889 lidí. Nejčastější příčina zmizení je složitá životní situace. U mladších je to pak touha po dobrodružství.
idnes.cz;Zemřel bývalý komunistický ministr obrany Vacek, oznámili exposlanci KSČM;https://www.idnes.cz/zpravy/domaci/miroslav-vacek-exministr-narodni-obrany-ksc-umrti-kscm.A230101_155912_domaci_kop;2023-01-01;Ve věku 87 let zemřel na Silvestra Miroslav Vacek, armádní generál, bývalý náčelník generálního štábu ČSLA a od prosince 1989 ministr obrany ve vládě Ladislava Adamce a pak i ve vládách Mariana Čalfy po listopadu 1989.
idnes.cz;To nejlepší z Rozstřelu 2022: Brodská, Procházka či Drábová;https://www.idnes.cz/zpravy/domaci/to-nejlepsi-z-rozstrelu-2022-brodska-prochazka-ci-drabova.A221220_114021_domaci_mase;2023-01-01;Každý všední den pro vás na iDNES.cz vysíláme pořad Rozstřel. Inflace, seriál Devadesátky, solární panely, válka na Ukrajině, ale třeba i humanoidní roboti. Takový byl rok 2022 v České republice a takový byl i v Rozstřelu. Prvním hostem, kterého si připomeneme, je bývalý elitní kriminalista Josef Doucha, pak uslyšíte i uvidíte herečku Terezu Brodskou, jadernou inženýrku Danu Drábovou a na řadu přijde i úspěšný zápasník MMA Jiří Procházka.
idnes.cz;Když se rozsvítí, poznáte, kdo je od nás. Reagujeme na světlo, říká elitní hasič;https://www.idnes.cz/zpravy/domaci/hasic-tornado-zemetreseni-ohen-pavel-mosnicka.A221222_155032_domaci_javu;2023-01-01;Pomáhal na Moravě po tornádu, v Íránu po zemětřesení či v Bejrútu. Dokázal pomáhat ze vzduchu jako letecký záchranář i pod vodou jako potápěč. Mezi hasiči se prý ujala fráze „to není Mošný, to nedáš...“ Pavel Mošnička popisuje, jaký je život elitního hasiče.
idnes.cz;Nebude to lehký rok, ale zvládneme to, řekl Fiala. Věří v pokles inflace;https://www.idnes.cz/zpravy/domaci/novorocni-projev-2023-predseda-vlady-petr-fiala.A230101_142259_domaci_kop;2023-01-01;S novoročním poselstvím vystoupil premiér Petr Fiala. Připomněl třicáté narozeniny, které slaví samostatná Česká republika. Ocenil, že se Češi a Slováci rozešli mírovou cestou a vztah obou národů označil za výjimečný. „Můžeme na sebe být hrdí,“ prohlásil. Avizoval, že letošní rok nebude lehký. Ceny podle něj budou klesat na přijatelnou úroveň.
idnes.cz;DOKUMENT: Novoroční projev premiéra Petra Fialy;https://www.idnes.cz/zpravy/domaci/premier-petr-fiala-novorocni-projev-prepis-dokument.A230101_210426_domaci_ijan;2023-01-01;Petr Fiala v novoročním poselství připomněl třicáté narozeniny samostatné České republiky. Ocenil, že se Češi a Slováci rozešli mírovou cestou. Poděkoval i za solidaritu Čechů vůči uprchlíkům z Ukrajiny i za to, že občané pomohli se šetřením elektřinou a plynem. Vyjádřil přesvědčení, že již letos začne klesat inflace a ceny se sníží. Redakce iDNES.cz přináší jeho projev v kompletním textovém přepisu.
idnes.cz;Manipulativní a plné floskulí. Opoziční politici zkritizovali Fialův projev;https://www.idnes.cz/zpravy/domaci/fiala-projev-ohlasy-schillerova-okamura-pekarova-adamova.A230101_215913_domaci_hovo;2023-01-01;Premiér Petr Fiala svým nedělním novoročním projevem nepřesvědčil lídry opozice. Ti míní, že vláda nezvládla předsednictví v Radě Evropské unie. Zástupci koalice proslov naopak zhodnotili jako věcný a srozumitelný. Fiala je podle nich státník, který nesklouzává k populismu a umí povzbudit občany v těžkých dobách.
idnes.cz;KONTEXT: Někteří nebudou mít proč se vrátit. Já pojedu, říká ukrajinská studentka;https://www.idnes.cz/zpravy/domaci/kontext-taisiia-kryvoshei-ukrajina-valka.A221221_122316_domaci_imzv;2023-01-02;Po začátku války se zoufale snažila dostat svou maminku a bratra do Česka. Pak jim musela najít práci a školu, zajistit jim nový život. „Nevím, kdy válka skončí. Ale určitě ji vyhrajeme,“ říká ukrajinská studentka Taisiia Kryvoshei. V podcastu Kontext hodnotí uplynulých deset měsíců války.
idnes.cz;Exkluzivní průzkum: Každý třetí váhá, komu dá v prezidentských volbách hlas;https://www.idnes.cz/zpravy/domaci/volby-2023-prezident-tesny-souboj-pruzkum-debaty-pavel-babis.A230101_194758_domaci_kadl;2023-01-02;Do otevření volebních místností zbývají necelé dva týdny. Dalo by se dodat klíčové dva týdny. Obvykle se v nich jednotliví prezidentští kandidáti pokoušejí napřít síly a po měsících kampaně ještě na poslední chvíli získat voličskou přízeň.
idnes.cz;Ranní teploty byly opět rekordní, nad průměrem zůstanou i v dalších dnech;https://www.idnes.cz/zpravy/domaci/pocasi-teploty-chmu-ochlazeni.A230102_060416_domaci_ihav;2023-01-02;Na 16 stanicích v Česku zaznamenali rekordně teplé lednové ráno. V Hejnicích naměřili 13,5 stupně. V nejbližších dnech teploty nepatrně klesnou, ale do pátku se i tak budou pohybovat 7 stupňů nad normálem. Výraznější ochlazení dorazí až o víkendu, kdy meteorologové očekávají teploty jen těsně nad dlouhodobým průměrem a přechodně se i ve středních polohách může vyskytnout sněhová pokrývka. Lze počítat s více oblačností a občasnými srážkami.
idnes.cz;Zemřel bývalý starosta Trokavce Jan Neoral, velký odpůrce radaru v Brdech;https://www.idnes.cz/plzen/zpravy/trokavec-starosta-umrti-jan-neoral-odpurce-radar-brdy.A230102_091001_plzen-zpravy_vb;2023-01-02;Ve věku 80 let v neděli zemřel bývalý starosta a zastupitel Plzeňského kraje za nezávislé Jan Neoral. Jako starosta obce Trokavec na Rokycansku byl známý především bojem proti stavbě amerického protiraketového radaru v Brdech.
idnes.cz;Odvoláním prezidenta z čela KSČ začalo před 55 lety pražské jaro;https://www.idnes.cz/zpravy/domaci/1968-prazske-jaro-ksc-dubcek-novotny-reformy.A230102_093527_domaci_remy;2023-01-02;Třídenní plenární zasedání ÚV KSČ, které začalo před 55 lety, 3. ledna 1968, zahájilo reformní politiku takzvaného Pražského jara. Komunisté tehdy odvolali prezidenta Československa Antonína Novotného z funkce šéfa komunistické strany, tedy prvního tajemníka ÚV KSČ, a na jeho místo zvolili Alexandra Dubčeka.
idnes.cz;Připravme se, že válka nemusí skončit podle našich představ, řekl generál;https://www.idnes.cz/zpravy/domaci/ukrajina-rusko-mobilizace-valka-sedivy-konec-kissinger.A230102_100526_domaci_remy;2023-01-02;Západ se musí připravit na možnost, že válka na Ukrajině neskončí přesně podle jeho představ, varuje bývalý náčelník generálního štábu Jiří Šedivý. Existují podle něj varianty úplného vítězství Ukrajiny, ale i takové, které nebudou odpovídat ideálnímu scénáři.
idnes.cz;Koho za prezidenta? Vyberte si díky volební kalkulačce iDNES.cz;https://www.idnes.cz/volby/volebni-kalkulacka-prezidentske-volby.A221230_094532_prezidentske-volby-2023_knn;2023-01-02;V polovině ledna čeká Českou republiku první kolo prezidentských voleb. O hlasy voličů se v něm utká devět kandidátů. Pokud si stále nejste jisti, kdo z nich je vám názorově nejbližší, zjistit to můžete během několika minut za pomoci volební kalkulačky portálu iDNES.cz.
idnes.cz;Kauzu Posledního z Aporveru řeší Nejvyšší soud, odsouzení nechtějí platit;https://www.idnes.cz/zpravy/domaci/posledni-z-aporveru-film-dotacni-podvod-tvurci-rozsudek.A230102_104647_domaci_vajo;2023-01-02;Nejvyšší soud přezkoumá rozsudek v kauze nedokončeného českého filmu Poslední z Aporveru. Dovolání podali dva ze tří odsouzených, a to režisér Tomáš Krejčí a Petr Hemmr. Soud převzal obě dovolání spolu se spisem v prosinci, rozhodnutí lze s ohledem na průměrnou délku řízení v trestním kolegiu očekávat za několik týdnů až měsíců.
idnes.cz;Nájemný zabiják, který omylem zavraždil řidiče Sazky, žádá obnovu procesu;https://www.idnes.cz/praha/zpravy/najemna-vrazda-timur-tretjakov-omyl-ridic-sazka-soud-zadost-obnova.A230101_172857_praha-zpravy_iri;2023-01-02;Čečenec Timur Treťjakov, který se v listopadu 2007 zmýlil a místo podnikatele, na jehož vraždu byl najat, zastřelil pětadvacetiletého řidiče ze společnosti Sazka, chce, aby soud znovu otevřel jeho případ. Za mřížemi strávil již 15 roků. Původně dostal doživotí, pak mu však odvolací soud snížil trest na 22 let.
idnes.cz;Pohřešovanou ženu s tříletým synem našli v horách mrtvé;https://www.idnes.cz/hradec-kralove/zpravy/krkonose-pec-patrani-matka-syn-pohresovana-policie.A230102_085956_hradec-zpravy_tuu;2023-01-02;Třídenní pátrání po čtyřicetileté ženě a jejím tříletém synovi, kteří odešli z penzionu v Peci pod Sněžkou v Krkonoších, skončilo tragicky. Policie dnes před 13. hodinou odvolala pátrání po pohřešovaných a oznámila, že horští záchranáři našli ženu a chlapce mrtvé v oblasti Růžové hory. Příčinu jejich úmrtí policie prošetřuje.
idnes.cz;Výběr tragických případů zmizelých dětí;https://www.idnes.cz/zpravy/cerna-kronika/vyber-tragickych-pripadu-zmizelych-deti.A230102_135212_krimi_jan;2023-01-02;Agentura ČTK připomněla případy zmizelých dětí s tragickým koncem za posledních patnáct let.
idnes.cz;Případů chřipky ubývá, epidemie ale přetrvává. Data zkreslily Vánoce;https://www.idnes.cz/zpravy/domaci/szu-epidemie-chripka-pretrvava.A230102_145729_domaci_tty;2023-01-02;Epidemie chřipky v Česku dál přetrvává, uvedl Státní zdravotní ústav. Lidí, kteří v uplynulém týdnu vyhledali lékaře kvůli akutní infekci dýchacích cest, je o čtvrtinu méně než za předchozí týden. Na 100 tisíc obyvatel nyní připadá 1 770 případů. Podle lékařů ale data zkreslily vánoční svátky, během kterých lidé při potížích lékaře nevyhledávali nebo se nechali vyšetřit na pohotovosti.
idnes.cz;EU je nedokonalou kopií Sovětského svazu, řekl Bašta ruské agentuře;https://www.idnes.cz/volby/basta-spd-evropska-unie-sovetsky-svaz-eu-sssr-volby-prezident.A230102_152856_prezidentske-volby-2023_remy;2023-01-02;Poslanec SPD a kandidát na prezidenta Jaroslav Bašta označil Evropskou unii za nedokonalou kopii někdejšího Sovětského svazu. Evropský parlament je přímou obdobou Nejvyššího sovětu SSSR, Evropská komise se svými komisaři je ekvivalentem politbyra Ústředního výboru Komunistické strany Sovětského svazu, citovala českého politika agentura Ria Novosti.
idnes.cz;Stát již popáté hledá dodavatele ropy. Nouzové zásoby klesly pod limit;https://www.idnes.cz/zpravy/domaci/sprava-statnich-hmotnych-rezerv-ropa-trh-soutez-milion-dolaru.A230102_151318_domaci_vank;2023-01-02;Správa státních hmotných rezerv (SSHR) několik měsíců marně shání dodavatele ropy. Ani počtvrté se do tendru za 52,2 milionu dolarů, zhruba 1,3 miliard korun, nikdo nepřihlásil. SSHR proto soutěž vyhlásila znovu. „Jedná se už o páté kolo výběrového řízení.  Naposledy se sice přihlásili dva zájemci s žádostí o účast, ve finále ale nabídka nebyla podána žádná,“ řekl pro iDNES.cz předseda SSHR Pavel Švagr.
idnes.cz;Rozhodnou volby, řekl Pavel k prvnímu místu. Nerudová čeká vyrovnaný souboj;https://www.idnes.cz/volby/pruzkum-volby-prezident-kandidati-pavel-nerudova-babis.A230102_143555_prezidentske-volby-2023_vajo;2023-01-02;Nejnovější výsledky volebních preferencí agentury Median pro MF DNES, v nichž těsně vede bývalý vysoký představitel české armády a NATO Petr Pavel proti expremiérovi Andreji Babišovi, předznamenávají podle bývalé rektorky Mendelovy univerzity v Brně Danuše Nerudové vyrovnaný souboj těchto tří favoritů. I Pavel výsledky průzkumu hodnotí střídmě, důležité jsou volby samotné.
idnes.cz;Rozdělení Československa byl správný krok, míní polovina Čechů;https://www.idnes.cz/zpravy/domaci/pruzkum-verejneho-mineni-rozdeleni-ceskoslovenska.A230102_154020_domaci_tty;2023-01-02;Padesát procent Čechů hodnotí rozdělení Československa kladně, vyplývá z průzkumu, který provedl Sociologický ústav AV ČR při příležitosti výročí třiceti let od rozdělení federace. Třicet devět procent lidí hodnotí rozdělení jako nesprávný krok, kritičtěji rozdělení Československa v tomto směru vnímají lidé, kteří jsou jeho pamětníky.
idnes.cz;Měl jsi moc hezký projev, řekl prezident Zeman Fialovi před novoročním obědem;https://www.idnes.cz/zpravy/domaci/zeman-fiala-novorocni-obed-lany-vecere-premieru-samostatne-ceske-republik.A230102_051443_domaci_kop;2023-01-02;Na zámek do Lán se v pondělí za prezidentem Milošem Zemanem vypravil premiér Petra Fiala. „Milý Petře, měl jsi moc hezký projev,“ přivítal Zeman předsedu vlády. „Vše dobré v novém roce,“ popřál naopak prezidentovi Fiala. Tradičního novoročního oběda špiček státu se zúčastnily i manželky obou politiků – Ivana Zemanová a Jana Fialová.
idnes.cz;STALO SE DNES: Pohřešovanou ženu se synem záchranáři našli mrtvé, chřipky ubývá;https://www.idnes.cz/zpravy/domaci/stalo-se-dnes-pohresovana-chripka-polsko-pusky-navratilova-rakovina-kyrgyzstan.A230102_173408_domaci_tty;2023-01-02;Pohřešovanou ženu s tříletým synem našli v horách mrtvé. Případů chřipky ubývá, epidemie ale přetrvává. Data zkreslily Vánoce. Polsko si objednalo další desetitisíce pušek. Chce odstrašit Rusko. Navrátilová znovu bojuje s rakovinou. Kyrgyzstán chce přejmenovat sovětské čtvrti, Moskva hrozí osudem Ukrajiny. Přinášíme přehled pondělních zpráv.
